date,result,method,rounds,fighter,opponent,fight_time,ground_str_lnd_mean_dif,ground_str_att_mean_dif,sig_str%_mean_dif,total_str_lnd_mean_dif,ctrl_mean_dif
2022-04-30,L,KO/TKO,3,Gina Mazany,Shanna Young,15.18,0.6424519007459719,0.5958101725743702,-0.33452739761790246,0.9976428345750158,1.1915803033768548
2022-04-30,W,Decision - Unanimous,3,Natan Levy,Mike Breeden,25.0,0.006076163309238269,0.006349043413119268,-0.19892345900238612,1.3601185178900668,0.3015990538766554
2022-04-30,L,KO/TKO,3,Yohan Lainesse,Gabe Green,20.03,,,,,
2022-04-30,W,Decision - Unanimous,3,Krzysztof Jotk,Gerald Meerschaert,25.0,0.5915418417510332,0.5279276227146926,-0.13112148969462775,1.122013723658284,0.39547893251591687
2022-04-30,W,Submission,3,Alexandr Romanov,Chase Sherman,10.18,3.465414672015322,4.663607527456821,1.2249178964605385,-0.5695394651452871,2.1341342849150404
2022-04-30,W,Submission,3,Francisco Figueiredo,Daniel Lacerda,5.3,-0.0575614104344351,0.049312682564813935,-1.4871608758497943,0.39188023664971255,1.7924115266681289
2022-04-30,L,Decision - Unanimous,3,Tristan Connelly,Darren Elkins,25.0,0.5355407768566007,0.30881306304104966,0.6825021419984723,0.8702717705357921,-0.254169827667773
2022-04-30,W,KO/TKO,3,Joanderson Brito,Andre Fili,0.68,-0.471205639768312,-0.49890335301080996,0.2078883568441641,-0.1928811365838985,1.1765595227945733
2022-04-30,L,Decision - Split,3,Jake Collier,Andrei Arlovski,25.0,0.09007776065088713,0.10774323181111868,-0.13112148969462775,0.5097052894654402,0.17767761407283014
2022-04-30,L,Decision - Unanimous,5,Rob Fon,Marlon Vera,25.0,-0.3439304922809652,-0.40180552852797996,-0.26672542831014445,0.46170249017014386,-0.13024838786394774
2022-04-30,L,Submission,3,Jared Gordon,Grant Dawson,20.18,1.1884622834666896,0.8965556466362328,0.2078883568441641,1.2193830381379478,-0.8061835140666309
2022-04-23,L,KO/TKO,3,Dwight Grant,Sergey Khandozhko,20.25,0.6004511020751475,0.822658187295318,-0.8091411827722106,-2.3947368110778084,-0.09269643640824309
2022-04-23,W,DQ,3,Mike Jackson,Dean Barry,15.87,,,,,
2022-04-23,W,Decision - Unanimous,3,Philipe Lins,Marcin Prachni,25.0,0.006076163309238269,0.006349043413119268,-0.876943152079969,-0.6009049305939183,-0.03261331407911571
2022-04-23,L,Decision - Unanimous,3,Evan Elder,Preston Parsons,25.0,,,,,
2022-04-23,W,KO/TKO,3, Aoriqileng,Cameron Else,10.8,0.06971373705291163,0.006349043413119268,0.614700172690714,2.2192595280047476,0.5982594703767218
2022-04-23,W,KO/TKO,3,Tyson Pedr,Ike Villanueva,20.92,0.2058981448643726,0.07251304770672906,0.9537100192295054,0.13822908128252115,0.41425490824376926
2022-04-23,W,Submission,3,Marc-Andre Barriault,Jordan Wright,10.6,0.6742706876178086,0.6078399915368446,-1.3515569372342768,1.5736764261185732,0.4893588111551785
2022-04-23,L,Submission,3,Lando Vannata,Charles Jourdain,10.53,-0.6379360829767362,-0.6621651817872497,-0.33452739761790246,-1.0037466042254686,-0.08518604611710216
2022-04-23,L,Decision - Unanimous,3,Montana De La Ros,Maycee Barber,25.0,0.44644817361545786,0.28647197068216845,-0.5379333055411771,0.39651687067255376,0.9174510577502112
2022-04-23,W,Submission,3,Claudio Puelles,Clay Guida,15.02,0.8613651544242082,0.5940916270083023,1.2927198657682972,0.2631454567214176,1.2216218645414187
2022-04-23,L,Submission,5,Amanda Lemo,Jessica Andrade,15.22,-0.37574927915280193,-0.18698733276950674,0.41129426476743847,-1.0168382767605495,-0.49825751212985303
2022-04-16,W,Decision - Unanimous,3,Pannie Kianzad,Lina Lansberg,25.0,-0.8912136264765561,-0.8142564643842489,-0.26672542831014445,0.8056316373938303,-0.8061835140666309
2022-04-16,L,KO/TKO,3,Kevin Croom, Alatengheili,0.78,-0.12119898417810847,-0.07957823489027006,-0.06331952038686937,-0.16260664384652407,0.7897744228008156
2022-04-16,L,Decision - Majority,3,Istela Nune,Sam Hughes,25.0,-0.07919818550728405,-0.05122223305015159,0.27569032615192246,0.9510037511687904,-0.9676569053261607
2022-04-16,L,Decision - Split,3,Trey Ogden,Jordan Leavitt,25.0,,,,,
2022-04-16,L,Decision - Unanimous,3,Chris Barnett,Martin Buday,5.63,,,,,
2022-04-16,L,Submission,3,Jesse Ronson,Rafa Garcia,20.83,0.17662486094228286,0.03556431803627163,0.6825021419984719,-0.46726077346496797,-1.2943588829907908
2022-04-16,W,KO/TKO,3,Drakkar Klos,Brandon Jenkins,0.55,0.38790160577127847,0.44801525389254043,0.9537100192295054,0.4327917133218402,1.135252376193298
