,result,fighter,opponent,date,weight class,method,norm_td_acc_dif,norm_td_def_dif,norm_sub_avg_dif,str_dif,slpm_dif,str. def_dif,str. acc._dif,sapm_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
6023,lose,Marlon Moraes,Henry Cejudo,2019-06-08,Bantamweight,KO/TKO:Punches,0.27066121466695064,-1.560363913765025,0.09626256799951421,-1.2457830732737265,-0.3408263622026738,-0.918024008999372,-0.385532586723233,1.0801301900402487,-0.35253776433502426,-0.29699948152037126,-1.875486686291903,0.6022537126261116
6024,lose,Jessica Eye,Valentina Shevchenko,2019-06-08,Women's Flyweight,KO/TKO:Kick,-0.8466588036816654,-0.42416568900681045,0.09626256799951421,-0.23069388072803845,0.4290646275231618,-0.6659199687143756,-1.196117101256522,1.4054701979742006,-0.6881393265757445,-0.6924013152128233,-1.1234180490946444,0.6022537126261116
6025,win,Tony Ferguson,Donald Cerrone,2019-06-08,Lightweight,KO/TKO:,0.27066121466695064,-0.2236601199318312,-0.18888693311776622,1.3483337521208099,0.42275404564016333,0.42653087252060695,-0.061298780909917645,-0.32558418386305277,-0.35253776433502426,0.4344939108106647,4.517096729884797,-0.5740037583545848
6026,win,Petr Yan,Jimmie Rivera,2019-06-08,Bantamweight,U-DEC:,1.1784837295752013,-0.05657214570268227,0.09626256799951424,-0.6442487369503559,0.9023582687480608,0.09039215214061264,1.0735195394366865,-0.012521157360570731,1.0890966140695426,0.6519649193415132,1.884856499694391,-1.162132493844933
6027,lose,Tai Tuivasa,Blagoy Ivanov,2019-06-08,Heavyweight,U-DEC:,-1.4053188128559735,-0.8251768271567684,-0.09383709941200612,-0.3434815687886704,0.43537520940616065,-0.7499546488093749,0.7492857336233713,0.01817129621810413,-1.3246594926737276,-0.13883874804339075,-0.747383730496015,1.1903824481164595
6028,win,Tatiana Suarez,Nina Nunes,2019-06-08,Women's Strawweight,U-DEC:,1.00390247670823,0.912538104826383,0.09626256799951421,1.0099706879389136,0.2776106623311945,-0.5818852886193777,1.6409286996099888,-1.240219300507559,1.9897065661154227,0.8496658361877394,1.884856499694391,-0.5740037583545848
6029,win,Aljamain Sterling,Pedro Munhoz,2019-06-08,Bantamweight,U-DEC:,0.026247460653190932,-1.3264407498442163,0.19131240170527447,2.5889983207877623,-0.5238332368096353,0.17442683223561145,0.5061103792633844,-2.283762722182498,-0.35253776433502426,0.1972528105951935,1.5088221810957616,-0.5740037583545848
6030,win,Alexa Grasso,Karolina Kowalkiewicz,2019-06-08,Women's Strawweight,U-DEC:,1.3530649824421725,-0.4910008786984702,0.3814120691167947,2.175443464565445,-0.2840311252556861,0.5946002327106046,0.1818765734500692,-1.1051725047613898,-0.35253776433502426,0.1972528105951935,0.3807192252998732,-1.7502612293352813
6031,win,Calvin Kattar,Ricardo Lamas,2019-06-08,Featherweight,KO/TKO:Punch,-0.1483337922137804,1.51405481205132,-0.7591859353523274,0.37084045559533235,1.3062355092599751,-0.24574656823938162,-0.6287079410832194,2.6270298504054534,-0.35253776433502426,0.3554135440721744,0.7567535438985026,-0.5740037583545848
6032,lose,Angela Hill,Yan Xiaonan,2019-06-08,Women's Strawweight,U-DEC:,-1.3005700611357909,0.3778565872931056,0.09626256799951424,-0.8698241130716199,-0.1830618151277075,0.006357472045613839,0.5061103792633844,0.7425132006748271,-0.35253776433502426,-1.2657339740668787,-1.4994523676932738,0.6022537126261116
6033,win,Darren Stewart,Bevon Lewis,2019-06-08,Middleweight,U-DEC:,1.5625624858825384,0.04368063883480733,0.09626256799951424,-0.042714400626985075,-0.42286392668165657,-0.49785060852437896,0.1818765734500692,0.3803422484464655,-0.35253776433502426,0.8496658361877393,0.3807192252998732,-1.162132493844933
6034,win,Eddie Wineland,Grigory Popov,2019-06-08,Bantamweight,KO/TKO:Punch,1.1435674790018073,1.3803844326680006,0.09626256799951424,0.7092035197772283,-0.13888774194671702,1.0988083132805972,-0.6287079410832198,-0.27033776742143845,-0.06018288813761225,0.9089761112416072,0.3807192252998732,-0.5740037583545848
6035,win,Katlyn Chookagian,Joanne Wood,2019-06-08,Women's Flyweight,U-DEC:,-1.4053188128559735,-0.1568249302401715,0.0012127342937540688,-1.1329953852130945,-1.382072372897452,0.9307389530905997,-1.196117101256522,-0.1721219159696793,-0.35253776433502426,0.29610326901830636,0.3807192252998732,-0.5740037583545848
6036,win,Stephen Thompson,Geoff Neal,2020-12-19,Welterweight,U-DEC:,-0.11341754164038612,-0.7249240426192789,-0.09383709941200612,3.2281285531313433,-0.8582940766085635,-0.3297812483343804,-0.6287079410832198,-1.5164513827156312,-0.6881393265757445,-0.19814902309725838,0.7567535438985026,-0.5740037583545848
6037,lose,Marlon Vera,Jose Aldo,2020-12-19,Bantamweight,U-DEC:,-0.4276637968009345,-0.7583416374651087,0.9517110713513559,0.07007328743364694,0.4543069550551568,-0.7499546488093745,0.34399347635672656,0.7793441449692362,1.0890966140695426,-0.05975838130490029,-0.37134941189738563,0.6022537126261116
6038,win,Michel Pereira,Khaos Williams,2020-12-19,Welterweight,U-DEC:,1.911724991616481,0.6451973460597441,0.5715117365283151,-0.4186733608290918,0.0630508783092398,0.8467042729956009,1.3977533452500024,-0.20895286026408896,-0.35253776433502426,-0.13883874804339075,0.7567535438985026,-0.5740037583545848
