name,wins,losses,draws,height,weight,reach,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,url
Terry Martin,23,11,0,172.72,83.25,180.34,Orthodox,43,2.82,0.43,3.13,0.54,3.1,0.42,0.92,0.0,04-18-2023,11-21-2008,http://ufcstats.com/fighter-details/6a92caba39b64752
Alberto Crane,15,5,0,165.1,69.75,169.25,Orthodox,47,0.43,0.25,2.61,0.57,0.0,0.0,0.5,4.0,04-18-2023,01-23-2008,http://ufcstats.com/fighter-details/25433871e4eee0f4
Joe Veres,4,3,0,170.18,69.75,174.46,Orthodox,46,0.0,0.0,5.55,0.27,0.0,0.0,0.0,0.0,04-18-2023,01-23-2008,http://ufcstats.com/fighter-details/c6d8ae3b016d5ad5
Colin Robinson,10,12,0,193.04,109.35000000000001,197.9,Orthodox,55,6.19,0.69,7.91,0.37,2.58,1.0,0.5,5.2,04-18-2023,01-19-2008,http://ufcstats.com/fighter-details/1a1a4d7a29041d77
James Lee,15,3,0 (1 NC),180.34,92.25,184.88,Southpaw,50,1.4,0.42,3.72,0.27,13.95,0.5,0.0,7.0,04-18-2023,01-19-2008,http://ufcstats.com/fighter-details/863d06a7ef8bc98c
Jordan Radev,23,5,0,170.18,83.25,174.46,Southpaw,47,1.35,0.23,2.38,0.66,0.0,0.0,0.8,0.0,04-18-2023,12-29-2007,http://ufcstats.com/fighter-details/45bc8f98d62bd096
Tony DeSouza,11,4,0,182.88,76.5,177.8,Southpaw,49,1.12,0.52,1.57,0.41,2.25,0.42,0.4,1.5,04-18-2023,12-29-2007,http://ufcstats.com/fighter-details/6ad9058b7c7898b0
Doug Evans,13,10,0,175.26,69.75,179.67,Orthodox,43,1.79,0.35,2.55,0.55,3.19,0.83,0.69,0.6,04-18-2023,12-29-2007,http://ufcstats.com/fighter-details/d3de4a24f7eefac8
Jared Rollins,8,4,0,175.26,76.5,179.67,Orthodox,46,3.33,0.57,2.41,0.39,2.5,0.5,0.5,1.2,04-18-2023,12-08-2007,http://ufcstats.com/fighter-details/c4b6099f0d25f75e
Billy Miles,2,2,0,177.8,76.5,182.27,Orthodox,45,0.0,0.0,1.25,0.33,0.0,0.0,0.0,0.0,04-18-2023,12-08-2007,http://ufcstats.com/fighter-details/3c48019bc387b80c
Dan Barrera,3,1,0,175.26,76.5,179.67,Orthodox,43,0.8,0.7,1.2,0.28,1.0,0.08,0.0,0.0,04-18-2023,12-08-2007,http://ufcstats.com/fighter-details/f12f979b657ab876
Richie Hightower,8,4,0 (1 NC),172.72,76.5,177.06,Orthodox,49,4.62,0.35,6.92,0.21,3.46,1.0,1.0,0.0,04-18-2023,12-08-2007,http://ufcstats.com/fighter-details/318e629d1eb7aa49
John Kolosci,15,9,0,180.34,83.25,184.88,Orthodox,49,0.21,0.2,0.85,0.5,0.0,0.0,0.0,0.0,04-18-2023,11-07-2009,http://ufcstats.com/fighter-details/5f6038bcdb95e3e4
Dorian Price,8,5,0,190.5,76.5,195.29,Southpaw,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-18-2023,12-08-2007,http://ufcstats.com/fighter-details/ee4b670e159f4a33
Paul Georgieff,6,2,0,187.96,76.5,192.69,Orthodox,41,2.55,0.4,2.34,0.35,0.0,0.0,0.0,0.0,04-18-2023,12-08-2007,http://ufcstats.com/fighter-details/2f1700b3a4a09bc7
Luke Caudillo,17,17,0,170.18,69.75,174.46,Orthodox,43,1.97,0.28,5.07,0.55,0.44,0.2,0.85,0.0,04-18-2023,10-03-2008,http://ufcstats.com/fighter-details/68d76fd9ecf7431d
Jason Black,23,4,1,172.72,69.75,177.06,Orthodox,51,1.06,0.47,2.6,0.45,0.48,0.33,0.28,6.2,04-18-2023,10-20-2007,http://ufcstats.com/fighter-details/b2f743746e8dcfa2
Diego Saraiva,22,20,1,167.64,69.75,171.86,Orthodox,41,1.64,0.32,3.58,0.62,1.33,0.4,0.0,0.7,04-18-2023,09-22-2007,http://ufcstats.com/fighter-details/4f4dac51adc1af4f
Scott Junk,8,3,1 (1 NC),185.42,119.25,190.08,Orthodox,45,5.13,0.6,1.81,0.45,0.0,0.0,0.0,0.0,04-18-2023,09-22-2007,http://ufcstats.com/fighter-details/ac70a4f1db1b8c40
Edilberto de Oliveira,29,15,2,182.88,76.5,187.48,Orthodox,41,4.12,0.32,6.79,0.61,0.0,0.0,0.0,0.0,04-18-2023,09-19-2007,http://ufcstats.com/fighter-details/afdb76fbd86f6d11
Anthony Torres,5,3,0,172.72,76.5,177.06,Orthodox,45,3.54,0.48,7.52,0.45,0.0,0.0,1.0,2.2,04-18-2023,09-08-2007,http://ufcstats.com/fighter-details/918d9d89d4d52acc
Renato Sobral,37,11,0,185.42,92.25,190.5,Orthodox,48,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6,04-18-2023,12-04-2010,http://ufcstats.com/fighter-details/d468288756ae3982
Mike Nickels,9,5,0,193.04,92.25,197.9,Orthodox,52,4.44,0.52,1.11,0.64,11.11,0.8,0.0,2.8,04-18-2023,07-07-2007,http://ufcstats.com/fighter-details/330ec26453c44a59
Jason Gilliam,14,9,0,182.88,76.5,187.48,Orthodox,37.85,0.79,0.33,3.14,0.42,0.0,0.0,0.0,0.0,04-18-2023,07-07-2007,http://ufcstats.com/fighter-details/91720876db0ee468
