,set,fighter,opponent,kd_dif,str_dif,td_dif,sub_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,result,result_pred
776,train,Matheus Nicolau,David Dvorak,1.3615359525013224,-0.0989579030339241,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.4389306838533057,-0.5819646566803028,0.0057617699926063,win,win
777,test,Bruno Souza,Luis Saldana,0.0070431212440949,-0.6635967659793974,-0.4015491970891212,0.0001258851697796,-0.0172712135127385,-1.2821299391271417,-0.0099430293270437,0.0057617699926063,lose,lose
778,validation,Benson Henderson,Rustam Khabilov,1.3615359525013224,0.3151105964594229,-1.9805342390677247,1.6947920407427854,1.4881221995019178,-0.2856217283489718,-1.153986284033562,0.0057617699926063,win,win
779,test,Diego Sanchez,Ross Pearson,-1.3474497100131326,-0.6635967659793974,-0.4015491970891212,0.0001258851697796,1.4881221995019178,-0.1323127728446378,-1.153986284033562,2.1603436488944445,win,lose
780,test,John Dodson,John Moraga,1.3615359525013224,0.72917909595277,0.3879433239001806,0.0001258851697796,-0.0172712135127385,0.1232021529959183,-0.0099430293270437,0.0057617699926063,win,win
781,test,Rafael Dos Anjos,Jason High,1.3615359525013224,0.4656809599115492,-0.4015491970891212,2.542125118529289,-0.8293134296146295,0.3531655862524189,-1.153986284033562,1.0830527094435254,win,win
782,test,Yves Edwards,Piotr Hallmann,0.0070431212440949,-1.0776652654727443,-1.191041718078423,-0.8472071926167234,1.4881221995019178,0.1487536455799739,-0.0099430293270437,1.0830527094435254,lose,lose
783,train,Erik Perez,Bryan Caraway,0.0070431212440949,0.1268976421442652,-0.4015491970891212,-1.6945402704032262,-0.0172712135127385,0.1232021529959183,-0.0099430293270437,0.0057617699926063,lose,lose
784,train,Sergio Pettis,Yaotzin Meza,0.0070431212440949,0.4280383690485176,-0.4015491970891212,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,-0.5819646566803028,1.0830527094435254,win,win
785,train,Bobby Voelker,Lance Benoist,0.0070431212440949,-0.701239356842429,-0.7962954575837721,0.0001258851697796,-1.776059615341257,-0.8477545651981957,-0.0099430293270437,1.0830527094435254,lose,lose
786,train,Danny Martinez,Scott Jorgensen,1.3615359525013224,0.2774680055963914,-3.954265541540979,0.0001258851697796,-0.0172712135127385,-0.9755120281184738,-0.0099430293270437,-2.148820108909232,lose,lose
787,validation,Jon Tuck,Jake Lindsey,0.0070431212440949,-0.0989579030339241,1.1774358448894824,0.0001258851697796,0.0764319370450979,1.2730193192784214,-0.0099430293270437,1.0830527094435254,win,win
788,train,Roger Narvaez,Patrick Cummins,0.0070431212440949,-1.0776652654727443,-1.191041718078423,-0.8472071926167234,1.4881221995019178,-0.0045553099243599,-0.0099430293270437,-1.071529169458313,lose,lose
789,test,Jake Shields,Jake Ellenberger,-1.3474497100131326,-0.2871708573490819,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.7711000874460289,-2.2980295387400806,1.0830527094435254,lose,lose
790,train,Dongi Yang,Court McGee,1.3615359525013224,-0.4377412208012081,-0.4015491970891212,-0.8472071926167234,1.4881221995019178,-1.2821299391271417,-0.5819646566803028,0.0057617699926063,lose,lose
791,test,Erik Koch,Jonathan Brookins,0.0070431212440949,0.6538939142267068,-0.4015491970891212,0.0001258851697796,-0.8293134296146295,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,win,win
792,test,Alan Belcher,Jason MacDonald,0.0070431212440949,0.8797494594048961,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,0.3531655862524189,0.5620785980262154,0.0057617699926063,win,win
793,train,Vagner Rocha,Cody McKenzie,0.0070431212440949,0.1268976421442652,0.7826895843948315,2.542125118529289,0.0764319370450979,-1.2821299391271417,-0.0099430293270437,0.0057617699926063,win,win
794,train,Evan Dunham,Shamar Bailey,0.0070431212440949,2.159597548747969,-0.0068029365944702,0.8474589629562826,-0.8293134296146295,-0.8477545651981956,-0.5819646566803028,2.1603436488944445,win,win
795,validation,Lance Benoist,Matthew Riddle,0.0070431212440949,0.5033235507745807,-1.191041718078423,0.0001258851697796,-0.8293134296146295,-1.8187112833923087,-0.0099430293270437,-1.071529169458313,win,lose
796,validation,Donny Walker,Ken Stone,0.0070431212440949,-0.2118856756230187,-0.7962954575837721,-0.8472071926167234,-1.776059615341257,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
797,test,Clay Harvison,Seth Baczynski,-1.3474497100131326,-1.0776652654727443,-0.0068029365944702,-0.8472071926167234,-0.0172712135127385,2.5505939484812026,0.5620785980262154,-1.071529169458313,lose,lose
798,train,TJ Waldburger,Mike Stumpf,0.0070431212440949,0.1645402330072967,1.1774358448894824,0.8474589629562826,-0.0172712135127385,1.2730193192784214,-0.0099430293270437,1.0830527094435254,win,win
799,test,Robert Peralta,Mike Lullo,0.0070431212440949,1.1056050045830854,-0.4015491970891212,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,-1.071529169458313,win,win
800,test,Justin Edwards,Jorge Lopez,0.0070431212440949,-0.023672721307861,-0.4015491970891212,1.6947920407427854,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,1.0830527094435254,win,win
801,train,Daniel Cormier,Derrick Lewis,0.0070431212440949,0.5786087325006438,1.5721821053841334,0.8474589629562826,-0.0172712135127385,0.2765111085002519,1.706121852732734,0.0057617699926063,win,win
802,train,Chris Weidman,Jacare Souza,-1.3474497100131326,-0.2118856756230187,0.3879433239001806,0.0001258851697796,-0.0172712135127385,0.0976506604118626,0.5620785980262154,-1.071529169458313,lose,lose
803,train,Jared Cannonier,David Branch,1.3615359525013224,0.6162513233636753,-1.191041718078423,0.0001258851697796,1.1834540518514318,-0.3622762061011386,-0.5819646566803028,2.1603436488944445,win,win
804,train,Karl Roberson,Jack Marshman,0.0070431212440949,0.5033235507745807,0.7826895843948315,0.0001258851697796,1.4881221995019178,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,win,win
805,train,Israel Adesanya,Derek Brunson,4.070521615015777,0.390395778185486,-0.0068029365944702,0.0001258851697796,2.5262575002009298,0.7875409601813647,1.706121852732734,-1.071529169458313,win,win
806,test,Jordan Rinaldi,Jason Knight,0.0070431212440949,0.3151105964594229,1.1774358448894824,1.6947920407427854,-0.0172712135127385,-0.4389306838533055,-0.0099430293270437,-2.148820108909232,win,win
807,train,Sijara Eubanks,Roxanne Modafferi,1.3615359525013224,1.1056050045830854,0.7826895843948315,0.0001258851697796,-0.0172712135127385,1.707394693207367,-0.0099430293270437,0.0057617699926063,win,win
808,validation,Sheymon Moraes,Julio Arce,2.7160287837585497,0.2774680055963914,-0.4015491970891212,-1.6945402704032262,-1.776059615341257,-1.2821299391271417,-0.5819646566803028,0.0057617699926063,win,win
809,train,Ben Saunders,Lyman Good,-1.3474497100131326,-0.0613153121708925,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,0.1487536455799739,-0.0099430293270437,0.0057617699926063,lose,lose
810,validation,Kurt Holobaugh,Shane Burgos,1.3615359525013224,0.1645402330072967,-0.0068029365944702,-0.8472071926167234,-0.0172712135127385,-1.920917253728532,-0.0099430293270437,1.0830527094435254,lose,win
811,validation,Marcos Rogerio de Lima,Adam Wieczorek,0.0070431212440949,0.8044642776788331,0.7826895843948315,0.0001258851697796,-0.0172712135127385,-1.1032694910387522,-1.153986284033562,1.0830527094435254,win,win
812,train,Randy Couture,Pedro Rizzo,-1.3474497100131326,1.0303198228570225,1.1774358448894824,0.0001258851697796,-0.0172712135127385,0.3531655862524189,1.706121852732734,0.0057617699926063,win,win
813,test,Pat Miletich,Carlos Newton,0.0070431212440949,0.5409661416376123,-1.5857879785730735,-0.8472071926167234,-0.0172712135127385,1.2730193192784214,3.4221867347925112,0.0057617699926063,lose,lose
814,validation,Chuck Liddell,Kevin Randleman,1.3615359525013224,0.1268976421442652,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,0.3787170788364745,1.1341002253794747,-1.071529169458313,win,win
815,test,Shonie Carter,Matt Serra,2.7160287837585497,0.3151105964594229,-0.0068029365944702,-2.5418733481897293,1.4881221995019178,2.5505939484812026,1.1341002253794747,0.0057617699926063,win,win
816,train,Pete Williams,Semmy Schilt,-2.70194254127036,-0.3248134482121134,0.3879433239001806,0.0001258851697796,-0.0172712135127385,1.5285342451189776,-0.0099430293270437,1.0830527094435254,lose,lose
817,test,Ricardo Almeida,Matt Lindland,0.0070431212440949,-0.4753838116642396,-1.9805342390677247,0.0001258851697796,-1.776059615341257,-2.5597045683299227,-0.5819646566803028,0.0057617699926063,lose,lose
818,train,BJ Penn,Joey Gilbert,0.0070431212440949,0.72917909595277,0.7826895843948315,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,win,win
819,validation,Tony DeSouza,Steve Berger,0.0070431212440949,0.9926772319939908,1.9669283658787844,-2.5418733481897293,1.4881221995019178,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,win,win
820,train,Tyron Woodley,Stephen Thompson,1.3615359525013224,0.051612460418202,0.3879433239001806,0.0001258851697796,-0.0172712135127385,-0.3622762061011387,-2.2980295387400806,0.0057617699926063,win,win
821,test,Lando Vannata,David Teymur,0.0070431212440949,-0.5130264025272712,-0.4015491970891212,0.0001258851697796,-1.776059615341257,-1.2821299391271417,-0.5819646566803028,0.0057617699926063,lose,lose
822,train,Daniel Kelly,Rashad Evans,0.0070431212440949,0.8044642776788331,-0.4015491970891212,0.0001258851697796,1.4881221995019178,0.2254081233321406,1.706121852732734,-2.148820108909232,win,win
823,test,Amanda Cooper,Cynthia Calvillo,0.0070431212440949,-0.2118856756230187,-0.4015491970891212,-2.5418733481897293,1.1834540518514318,1.2730193192784214,0.5620785980262154,0.0057617699926063,lose,lose
824,train,Mark Hunt,Alistair Overeem,-1.3474497100131326,-1.2658782197879022,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,0.0976506604118626,1.1341002253794747,-1.071529169458313,lose,lose
825,train,Marcin Tybura,Luis Henrique,0.0070431212440949,1.3691031406243064,-0.7962954575837721,-0.8472071926167234,-0.0172712135127385,-0.4389306838533057,-0.5819646566803028,0.0057617699926063,win,win
826,validation,Darren Elkins,Mirsad Bektic,1.3615359525013224,-1.1905930380618392,-1.5857879785730735,0.8474589629562826,-0.0172712135127385,-0.6944456096938619,-0.5819646566803028,0.0057617699926063,win,lose
827,train,Iuri Alcantara,Luke Sanders,0.0070431212440949,-2.6586540817200697,-0.0068029365944702,0.8474589629562826,-0.8293134296146295,-0.8477545651981956,-0.0099430293270437,0.0057617699926063,win,lose
828,train,Daniel Spitz,Mark Godbeer,0.0070431212440949,-1.5293763558291231,0.3879433239001806,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,-1.071529169458313,lose,lose
