,result,fighter,opponent,date,weight class,method,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
1714,lose,Ken Stone,Scott Jorgensen,2011-06-04,Bantamweight,KO/TKO:Punch,0.007043121244094929,0.1268976421442652,-0.40154919708912123,0.0001258851697796023,-0.7676871234166002,-0.409775648999002,0.033659919655943296,-0.09631596705387949,0.3186154079589364,0.7372251754234123,-0.316715067018709,-1.415731955329877,1.4881221995019178,-0.004555309924359925,-0.009943029327043728,0.005761769992606312
1715,lose,Francisco Rivera,Reuben Duran,2011-06-04,Bantamweight,SUB:Rear Naked Choke,0.007043121244094929,-0.7388819477054606,-0.7962954575837721,0.8474589629562826,0.012811460940677895,1.4087408269416435,1.4408954426631113,-0.09631596705387949,0.5716693245030273,-0.6411360733621636,0.33042175739603324,1.5281852566460534,-0.01727121351273854,-0.004555309924359925,-0.009943029327043728,-1.0715291694583127
1716,lose,Chris Cariaso,Demetrious Johnson,2014-09-27,Flyweight,SUB:Kimura,0.007043121244094929,-0.7765245385684921,-0.40154919708912123,-1.6945402704032262,-1.252711243695766,-0.5846330024548334,-0.2678905495598786,0.2850386060282752,-0.03566007520279066,-0.8843762937360891,0.34263188615857537,-0.49050083156601354,1.4881221995019178,-0.490033669021417,-1.7260079113868212,0.005761769992606312
1717,win,Donald Cerrone,Eddie Alvarez,2014-09-27,Lightweight,U-DEC:,1.3615359525013224,1.5196735040764326,-0.006802936594470287,0.0001258851697796023,-0.9851117290589848,-0.09503241277850559,-0.636452234156994,0.6663931791104297,0.07188783932844786,0.4129048815915126,0.04958879585756063,-0.15405315019733556,-0.01727121351273854,2.0140126042160347,2.278143480085993,0.005761769992606312
1718,lose,Dustin Poirier,Conor McGregor,2014-09-27,Featherweight,KO/TKO:Punch,-1.3474497100131326,0.051612460418202076,-0.006802936594470287,0.0001258851697796023,0.42536071267238196,-0.654575943837166,-0.06685690341599736,1.0477477521925844,0.19841479760049333,0.08858458775961209,-0.2373492300621838,-0.06994122985516607,-0.8293134296146295,-0.5155851616054723,-0.009943029327043728,0.005761769992606312
1719,win,Yoel Romero,Tim Kennedy,2014-09-27,Middleweight,KO/TKO:Punch,2.7160287837585497,0.35275318732245453,1.1774358448894824,-0.8472071926167234,-0.5669874874390144,-0.16497535416083814,0.2681991734904715,-0.6683478266771116,0.43248967040377734,0.16966466121758722,0.7333560065599288,-0.15405315019733556,1.4881221995019178,-0.004555309924359925,0.5620785980262154,0.005761769992606312
1720,win,Cat Zingano,Amanda Nunes,2014-09-27,Women's Bantamweight,KO/TKO:Punches,0.007043121244094929,0.6915365050897384,0.7826895843948315,2.5421251185292886,0.0852863294881395,0.3246252355154893,-1.3400699956605775,-0.0009773237833408386,-1.142770960083188,0.8183052488813874,-0.689123994276249,-0.6587246722503526,1.4881221995019178,-0.004555309924359925,-0.5819646566803028,0.005761769992606312
1721,lose,Takeya Mizugaki,Dominick Cruz,2014-09-27,Bantamweight,KO/TKO:Punches,0.007043121244094929,-0.8894523111575868,-0.7962954575837721,0.0001258851697796023,-0.7621121335283338,0.5344540596624867,-0.43541858801311273,-0.0009773237833408386,-0.32667207922849495,0.33182480813353704,0.3975774655900158,-1.0792842739611992,-0.01727121351273854,-0.5666881467735836,1.706121852732734,0.005761769992606312
1722,lose,James Krause,Jorge Masvidal,2014-09-27,Lightweight,U-DEC:,-1.3474497100131326,-0.4000986299381765,-0.7962954575837721,0.0001258851697796023,-0.271513023360902,-1.4239482990428232,-0.5024298033944065,0.5710545358398912,0.4451423662309816,0.08858458775961209,0.6356749764595908,-0.23816507053950506,-0.01727121351273854,-0.33672471351708305,-0.5819646566803028,0.005761769992606312
1723,lose,Patrick Cote,Stephen Thompson,2014-09-27,Welterweight,U-DEC:,-1.3474497100131326,-0.4000986299381765,-0.006802936594470287,0.0001258851697796023,0.2135110969182637,-0.7245188852194981,-0.6699578418476407,0.1896999627577365,-0.6746212144766196,0.4129048815915122,0.2388457916769658,-0.6587246722503526,-0.01727121351273854,-0.8477545651981959,-0.009943029327043728,0.005761769992606312
1724,win,Brian Ebersole,John Howard,2014-09-27,Welterweight,S-DEC:,0.007043121244094929,0.2774680055963914,-0.40154919708912123,0.0001258851697796023,-0.5614124975507483,-0.8993762386753296,0.2681991734904711,-0.28699325359495687,0.12249862263726605,-0.07357555915633818,-0.5792328354133682,0.4347302921978509,1.4881221995019178,0.17430513816402962,-0.009943029327043728,1.0830527094435254
1725,lose,Jon Tuck,Kevin Lee,2014-09-27,Lightweight,U-DEC:,0.007043121244094929,-1.6423041284182176,-1.5857879785730737,1.6947920407427854,-1.5481857077738783,-0.3398327076166694,-0.8374858803008749,0.18969996275773646,-0.5480942562045744,-0.15465563261431287,0.10453437528900063,0.8552898939086974,-0.01727121351273854,0.4298200640045859,-0.009943029327043728,0.005761769992606312
1726,lose,Cody Gibson,Manvel Gamburyan,2014-09-27,Bantamweight,SUB:Guillotine Choke,1.3615359525013224,1.4443883223503695,-0.40154919708912123,-0.8472071926167234,-0.7899870829696651,0.14976788205965802,-0.3684073726318189,-0.28699325359495675,0.23004653716850484,-0.8032962202781134,-0.18240365063074354,0.6870660532243584,-0.01727121351273854,0.25095961591619625,0.5620785980262154,-1.0715291694583127
1727,lose,Paul Felder,Rafael Dos Anjos,2020-11-14,Lightweight,S-DEC:,0.007043121244094929,0.23982541473335986,-1.9805342390677247,0.0001258851697796023,-0.9349368200645883,-0.19994682485200443,0.16768235041853083,-0.2869932535949568,0.09086688306925482,-0.1546556326143133,0.12284956843281396,-1.0792842739611992,-1.776059615341257,0.04654767524375138,-0.009943029327043728,-1.0715291694583127
1728,win,Khaos Williams,Abdul Razak Alhassan,2020-11-14,Welterweight,KO/TKO:Punch,1.3615359525013224,0.1268976421442652,-0.006802936594470287,0.0001258851697796023,-0.5837124571038133,-1.5638341818074883,0.7707832888501739,-0.0009773237833408386,0.919618459751152,-0.8843762937360886,0.03127360271374703,-0.6587246722503526,-0.01727121351273854,0.8386439453494756,0.5620785980262154,-1.0715291694583127
1729,lose,Miranda Granger,Ashley Yoder,2020-11-14,Women's Strawweight,U-DEC:,0.007043121244094929,0.2774680055963914,-0.7962954575837721,-2.5418733481897293,-0.6729122953160735,-1.0392621214399944,-1.20604756489799,-0.5730091834065729,-0.16851338138843827,0.6561451019654372,-0.731859444945147,0.8552898939086974,-1.776059615341257,0.5320260343408083,-0.009943029327043728,-1.0715291694583127
1730,lose,Brendan Allen,Sean Strickland,2020-11-14,Catch Weight,KO/TKO:Punches,-1.3474497100131326,-1.604661537555186,-0.40154919708912123,0.0001258851697796023,0.09086131937640578,-0.5846330024548333,-1.1725419572073432,1.1430863954631232,-0.965633218502324,1.223705616171263,-0.0053567835738801755,-1.7521796366985547,-0.01727121351273854,0.6853349898451421,0.5620785980262154,0.005761769992606312
1731,win,Cory McKenna,Kay Hansen,2020-11-14,Women's Strawweight,U-DEC:,0.007043121244094929,-0.362456039075145,-0.7962954575837721,-1.6945402704032262,0.12431125870600332,1.0939975907211472,1.1393449734472894,-0.19165461032441825,0.30596271213173215,-0.6411360733621636,0.20221540538933885,-0.32227699088167455,-0.01727121351273854,-2.5597045683299227,-0.5819646566803028,0.005761769992606312
1732,lose,Randa Markos,Kanako Murata,2020-11-14,Women's Strawweight,U-DEC:,0.007043121244094929,0.013969869555170527,-1.5857879785730737,-1.6945402704032262,-0.7175122144222036,-0.409775648999002,1.7424459118789326,-0.9543637564887275,0.5779956724166295,-1.289776661025964,0.2998964354896773,0.43473029219785,-0.01727121351273854,1.094158871190032,-0.009943029327043728,2.1603436488944445
1733,lose,Geraldo de Freitas,Tony Gravely,2020-11-14,Bantamweight,S-DEC:,0.007043121244094929,1.0303198228570223,-2.3752804995623755,0.0001258851697796023,-1.581635647103476,-0.06006094208733931,0.23469356579982423,-0.2869932535949568,0.05290879558764118,0.3318248081335375,-0.5120771272193857,0.26650645151351193,-0.01727121351273854,1.2730193192784214,-0.009943029327043728,0.005761769992606312
1734,lose,Rhys McKee,Alex Morono,2020-11-14,Welterweight,U-DEC:,0.007043121244094929,-1.9434448553224701,-1.191041718078423,0.0001258851697796023,-0.18231318514864167,-0.6895474145283321,-1.038519526444756,-0.2869932535949568,0.9449238514055608,0.8183052488813879,4.811539013249058,-1.1633961943033682,-0.01727121351273854,-1.7165053130560872,-0.009943029327043728,0.005761769992606312
1735,win,Don'Tale Mayes,Roque Martinez,2020-11-14,Heavyweight,U-DEC:,0.007043121244094929,0.051612460418202076,-0.006802936594470287,0.0001258851697796023,0.403060753119317,0.11479641136849195,0.13417674272788357,-0.3823318968654955,0.24902558090931154,-0.6411360733621636,-0.6524936079886223,-1.0792842739611996,-0.01727121351273854,-0.004555309924359925,-0.009943029327043728,1.0830527094435254
1736,win,Conor McGregor,Chad Mendes,2015-07-11,Featherweight,KO/TKO:Punch,1.3615359525013224,0.5786087325006438,-1.5857879785730737,0.0001258851697796023,-1.932860010064251,0.009881999294993076,-1.1390363495166964,-0.19165461032441816,1.621843078161004,0.007504514301636955,1.4049130884997554,-1.0792842739611992,1.4881221995019178,0.5064745417567525,2.278143480085993,0.005761769992606312
1737,win,Robbie Lawler,Rory MacDonald,2015-07-11,Welterweight,KO/TKO:Punch,1.3615359525013224,-0.5883115842533343,-0.006802936594470287,0.0001258851697796023,-0.6283123762099434,0.6043970010448195,-0.7704746649195812,-0.3823318968654955,0.06556149141484573,0.3318248081335375,1.136290255723825,-0.23816507053950506,1.4881221995019178,-0.2856217283489718,-0.009943029327043728,0.005761769992606312
1738,win,Jeremy Stephens,Dennis Bermudez,2015-07-11,Featherweight,KO/TKO:Flying Knee,2.7160287837585497,0.1268976421442652,-0.40154919708912123,0.0001258851697796023,-1.5258857482208135,-0.0600609420873395,-0.5694410187756999,-0.6683478266771117,-0.775842781094256,-0.4789759264462134,-0.017566912336422488,-0.06994122985516607,-0.01727121351273854,-0.7199971022779176,-0.009943029327043728,1.0830527094435254
1739,lose,Brandon Thatch,Gunnar Nelson,2015-07-11,Welterweight,SUB:Rear Naked Choke,-1.3474497100131326,0.08925505128123362,-0.006802936594470287,-0.8472071926167234,-0.2826630031374346,0.2197108234419908,-0.5359354110850534,-0.19165461032441825,0.5653429765894249,-1.4519368079419142,0.34873695053984655,0.1823945311713424,1.0084307925935114,-0.33672471351708305,-0.009943029327043728,0.005761769992606312
1740,lose,Brad Pickett,Thomas Almeida,2015-07-11,Bantamweight,KO/TKO:Flying Knee,0.007043121244094929,-0.1366004938969557,-0.006802936594470287,0.0001258851697796023,1.2783341655771219,1.0590261200299806,-0.5694410187757002,0.38037724929881384,-1.1364446121695853,-0.9654563671940637,-0.18850871501201458,-0.4905008315660126,-1.776059615341257,-1.4354388946314753,-1.153986284033562,2.1603436488944445
