,set,fighter,opponent,result,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,kd_dif_pred,str_dif_pred,td_dif_pred,sub_dif_pred
2029,test,Gian Villante,Mauricio Rua,lose,-2.70194254127036,-1.45409117410306,-0.7962954575837721,0.0001258851697796,-0.8847619110701919,-0.8644047679841632,1.1728505811379362,-0.6683478266771116,0.5273848891078113,-0.4789759264462134,1.64301059936933,0.0982826108291729,-0.0172712135127385,0.1487536455799739,-0.5819646566803028,0.0057617699926063,-0.03966352810960259,-0.03966352810960259,-0.03966352810960259,-0.03966352810960259
2030,validation,Edson Barboza,Beneil Dariush,win,1.3615359525013224,-0.7765245385684921,-0.0068029365944702,0.0001258851697796,-0.8791869211819255,0.3595967062066555,-0.167373726487938,-0.7636864699476503,0.1098459268100615,-0.3978958529882382,0.940928195523148,0.0141706904870034,-1.776059615341257,-0.1323127728446381,-0.0099430293270437,0.0057617699926063,0.0070431212440949425,0.0070431212440949425,0.0070431212440949425,0.0070431212440949425
2031,test,Ray Borg,Jussier Formiga,win,0.0070431212440949,0.2398254147333598,-0.0068029365944702,0.0001258851697796,1.1501093981469976,0.5344540596624869,-1.3735756033512243,0.3803772492988138,0.0782141872420502,1.0615454692553128,-0.2556644232059972,-1.3316200349877076,-0.0172712135127385,0.1232021529959183,-0.0099430293270437,0.0057617699926063,-0.13307682681699753,-0.13307682681699753,-0.13307682681699753,-0.13307682681699753
2032,train,Tim Means,Alex Oliveira,lose,0.0070431212440949,-0.0989579030339241,-2.3752804995623755,-0.8472071926167234,-0.6840622750926062,0.1147964113684917,0.0671655273465901,-0.3823318968654954,1.229609507517663,-0.2357357060722884,0.6234648476970485,1.191737575277375,-0.0172712135127385,-0.1067612802605822,-0.0099430293270437,0.0057617699926063,0.2405763680125824,0.2405763680125824,0.2405763680125824,0.2405763680125824
2033,validation,Kevin Lee,Francisco Trinaldo,win,0.0070431212440949,-0.362456039075145,0.3879433239001806,0.0001258851697796,1.2281592565827253,0.0448534699861593,0.5027384273249993,0.2850386060282752,0.4957531495398,-0.2357357060722884,0.5379939463592522,-0.8269485129346906,-1.776059615341257,-0.0301068025084155,-2.2980295387400806,0.0057617699926063,0.10045641995148993,0.10045641995148993,0.10045641995148993,0.10045641995148993
2034,train,Davi Ramos,Sergio Moraes,lose,0.0070431212440949,-0.1366004938969557,-0.0068029365944702,0.0001258851697796,0.4142107328958495,0.0798249406773256,0.2681991734904711,0.1896999627577364,0.1541303622052775,-0.3978958529882382,-0.1824036506307435,-0.2381650705395041,-0.0172712135127385,-2.125329194400977,-2.87005116609334,0.0057617699926063,0.24057636801258245,0.24057636801258245,0.24057636801258245,0.24057636801258245
2035,train,Rani Yahya,Joe Soto,lose,0.0070431212440949,0.2021828238703283,-0.0068029365944702,-1.6945402704032262,1.1389594183704648,0.4295396475889882,-1.5411036418044586,-0.0009773237833408,-1.111139220515176,-0.235735706072288,-2.2092850252127656,-1.415731955329877,-0.0172712135127385,1.0175043934378651,1.1341002253794747,0.0057617699926063,-0.039663528109602594,-0.039663528109602594,-0.039663528109602594,-0.039663528109602594
2036,test,Joshua Burkman,Michel Prazeres,lose,0.0070431212440949,-0.8518097202945553,-0.7962954575837721,-0.8472071926167234,-0.7899870829696654,0.009881999294993,0.8377945042314678,-0.2869932535949568,0.2110674934276978,-0.3168157795302631,0.3731572080649312,-0.4905008315660126,-0.0172712135127385,-0.7966515800300843,-1.7260079113868212,2.1603436488944445,-0.08637017746329997,-0.08637017746329997,-0.08637017746329997,-0.08637017746329997
2037,test,Jeremy Kennedy,Rony Jason,win,-1.3474497100131326,1.0679624137200538,3.151167147362737,0.0001258851697796,2.8616312938447432,0.7792543545006507,1.005322542684702,-0.7636864699476503,0.1288249705508684,0.1696646612175872,-0.3472403889250646,-0.4905008315660135,-0.0172712135127385,1.094158871190032,0.5620785980262154,-2.148820108909232,-0.13307682681699748,-0.13307682681699748,-0.13307682681699748,-0.13307682681699748
2038,validation,Garreth McLellan,Paulo Costa,lose,-1.3474497100131326,-0.5883115842533343,-0.0068029365944702,0.0001258851697796,0.3417358643483879,-1.8436059473368187,-1.507598034113812,0.8570704656515071,-1.8449955784930392,-0.4789759264462129,-2.105498930731156,-0.1540531501973351,1.4881221995019178,0.6342320046770308,-0.0099430293270437,2.1603436488944445,-0.3199034242317875,-0.3199034242317875,-0.3199034242317875,-0.3199034242317875
2039,test,Demetrious Johnson,Joseph Benavidez,win,1.3615359525013224,0.1268976421442652,-0.0068029365944702,0.0001258851697796,1.077634529599536,0.919140237265316,0.100671135037237,-0.0963159670538794,-0.0419864231163927,1.629105983461138,-0.6219682860822663,0.5188422125400204,-1.776059615341257,-0.0045553099243599,0.5620785980262154,0.0057617699926063,-0.13307682681699748,-0.13307682681699748,-0.13307682681699748,-0.13307682681699748
2040,train,Michael McDonald,Urijah Faber,lose,-1.3474497100131326,-0.7388819477054606,-0.4015491970891212,-0.8472071926167234,-0.2547880536961032,1.2688549441769783,-0.2008793341785845,0.571054535839891,0.0402560997604366,0.1696646612175867,0.0984293109077293,-0.5746127519081831,-0.0172712135127385,0.3020626010843076,-1.153986284033562,0.0057617699926063,0.10045641995148993,0.10045641995148993,0.10045641995148993,0.10045641995148993
