,name,wins,losses,draws,height,weight,reach,stance,age,slpm,str. acc.,sapm,str. def,td avg.,td acc.,td def.,sub. avg.
9394,Taylor Moore,10,5.0,0,177.8,60.75,177.8,Southpaw,29,0.2,0.75,2.07,0.42,0.0,0.0,0.25,0.0
9395,Ho Bae Myeon,13,5.0,1,180.34,75.60000000000001,184.77,Orthodox,37.31,3.16,0.16,3.16,0.83,0.0,0.0,0.0,0.0
9396,Islam Makhachev,23,1.0,0,177.8,69.75,177.8,Southpaw,31,2.37,0.59,0.95,0.66,3.42,0.65,0.88,1.3
9397,Dave Menne,45,1.0,-2,177.8,76.5,182.16,Orthodox,48,1.84,0.44,1.99,0.42,0.46,0.5,0.57,2.5
9398,Sanford Alton Meeks,1,0.0,-0,195.58,119.25,190.5,Orthodox,28,0.71,0.42,4.47,0.38,7.06,0.25,0.0,0.0
9399,Luis Mendoza,0,0.0,-0,178.31,69.75,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9400,Cole Miller,21,1.0,-0,185.42,65.25,185.42000000000002,Orthodox,38,3.0,0.33,3.88,0.59,0.6,0.36,0.38,1.8
9401,Elvis Mutapcic,15,6.0,1,182.88,83.25,182.88,Orthodox,36,3.41,0.4,4.27,0.38,0.0,0.0,0.81,0.0
9402,Anistavio Medeiros,19,1.0,-0,167.64,65.25,171.75,Orthodox,34,3.64,0.44,5.0,0.47,0.0,0.0,0.0,0.0
9403,Roman Mitichyan,8,0.0,-0,177.8,76.5,182.16,Orthodox,44,0.26,0.16,2.7,0.43,1.93,1.0,0.25,1.9
9404,Jordan Mein,31,1.0,-0,182.88,76.5,185.42000000000002,Orthodox,33,3.35,0.44,2.55,0.69,1.56,0.58,0.66,0.2
9405,Brandon Melendez,25,2.0,-0,180.34,69.75,184.77,Southpaw,39,0.84,0.26,0.56,0.63,0.0,0.0,0.25,0.0
9406,Chris Mierzwiak,5,0.0,-0,185.42,83.25,189.97,Orthodox,34,1.6,0.61,1.73,0.48,2.0,0.28,0.0,1.0
